2013,4,214
��조사일,조사지역명,품목명,품목코드,규격,조사가격,전일조사가격
20130101,서울서부,감자,152,1KG,2000,0
20130101,서울서부,배추,211,1,4000,0
20130101,서울서부,배추,211,1,3500,0
20130101,서울서부,양배추,212,1,4500,0
20130101,서울서부,쌀,111,20KG,45000,0
20130101,서울서부,찹쌀,112,1KG,3060,0
20130101,서울서부,콩,141,1KG,7000,0
20130101,서울서부,콩,141,1KG,6160,0
20130101,서울서부,팥(적두),142,1KG,13100,0
20130101,서울서부,팥(적두),142,1KG,11600,0
20130101,서울서부,양배추,212,1,4000,0
20130101,서울서부,시금치,213,1KG,6000,0
20130101,서울서부,시금치,213,1KG,5000,0
20130101,서울서부,상추,214,100G,830,0
20130101,서울서부,상추,214,100G,580,0
20130101,서울서부,상추,214,100G,830,0
20130101,서울서부,상추,214,100G,580,0
20130101,서울서부,수박,221,1,18000,0
20130101,서울서부,토마토,225,1KG,6000,0
20130101,서울서부,토마토,225,1KG,5000,0
20130101,서울서부,무,231,1,2000,0
20130101,서울서부,무,231,1,1500,0
20130101,서울서부,당근,232,1KG,4000,0
20130101,서울서부,당근,232,1KG,3500,0
20130101,서울서부,건고추,241,600G,14000,0
20130101,서울서부,건고추,241,600G,13000,0
20130101,서울서부,붉은고추,243,100G,750,0
20130101,서울서부,마늘,244,1KG,7000,0
20130101,서울서부,마늘,244,1KG,6000,0
20130101,서울서부,양파,245,1KG,1800,0
20130101,서울서부,양파,245,1KG,1500,0
20130101,서울서부,파,246,1KG,2500,0
20130101,서울서부,파,246,1KG,2000,0
20130101,서울서부,파,246,1KG,6000,0
20130101,서울서부,참깨,312,500G,11300,0
20130101,서울서부,참깨,312,500G,10300,0
20130101,서울서부,참깨,312,500G,3210,0
20130101,서울서부,땅콩,314,100G,1460,0
20130101,서울서부,땅콩,314,100G,560,0
20130101,서울서부,느타리버섯,315,100G,800,0
20130101,서울서부,느타리버섯,315,100G,700,0
20130101,서울서부,팽이버섯,316,100G,330,0
20130101,서울서부,건멸치,638,100G,1500,0
20130101,서울서부,쇠고기,512,100G,3900,0
20130101,서울서부,쇠고기,512,100G,5660,0
20130101,서울서부,쇠고기,512,100G,4000,0
20130101,서울서부,쇠고기,512,100G,2330,0
20130101,서울서부,쇠고기,512,100G,1830,0
20130101,서울서부,쇠고기,512,100G,1630,0
20130101,서울서부,쇠고기,512,100G,2300,0
20130101,서울서부,쇠고기,512,100G,1330,0
20130101,서울서부,쇠고기,512,100G,1100,0
20130101,서울서부,열무,233,1.5KG,3000,0
20130101,서울서부,얼갈이배추,215,1.5KG,2500,0
20130101,서울서부,얼갈이배추,215,1.5KG,3000,0
20130101,서울서부,열무,233,1.5KG,3000,0
